Time(Iteration),CoLinCoTheta,GOBLinCoTheta,LinUCBCoTheta,CoLinTheta,,,,,
0,0.750088877034,0.71208853172,0.747781391874,0.990847921762,,,,,
1,0.663418746564,0.637432606584,0.731119945851,0.918951258769,,,,,
2,0.598994169923,0.616002133823,0.705568998404,0.869106006108,,,,,
3,0.574450790808,0.576853419148,0.676765408156,0.850817746883,,,,,
4,0.550773919426,0.55325755257,0.650492294668,0.832332017312,,,,,
5,0.521503772153,0.528560692695,0.625917029833,0.810735763772,,,,,
6,0.481428593192,0.483699461331,0.599467375564,0.783686505515,,,,,
7,0.463930708316,0.466772536953,0.581466074622,0.773076558631,,,,,
8,0.444672738998,0.450367947166,0.56560785099,0.754962631325,,,,,
9,0.415577561855,0.434104284956,0.533477075951,0.738023126067,,,,,
10,0.401252878561,0.422712824154,0.510160864969,0.729032741139,,,,,
11,0.396167486471,0.414078202865,0.49090114621,0.72313284468,,,,,
12,0.386760135471,0.407780076954,0.465754736911,0.716031528558,,,,,
13,0.373000416534,0.398306136744,0.44425818789,0.709499563647,,,,,
14,0.35342958423,0.386328506287,0.418806472421,0.696744941337,,,,,
15,0.344337981344,0.376078026053,0.410603721564,0.688922048775,,,,,
16,0.337969720926,0.372579479316,0.391383887699,0.684277534179,,,,,
17,0.330288988542,0.361332215776,0.352226436712,0.678444399065,,,,,
18,0.324612181862,0.357557650322,0.342111691902,0.673287818041,,,,,
19,0.316429273275,0.353477902162,0.33455189762,0.668100984406,,,,,
20,0.31274463982,0.349985968386,0.31744459765,0.664741098151,,,,,
21,0.308924480888,0.344756318983,0.303919713411,0.659668484549,,,,,
22,0.304875508871,0.342494731651,0.301194604441,0.656203880015,,,,,
23,0.298050566809,0.335229426397,0.287576548916,0.652197510996,,,,,
24,0.294061362841,0.33142584477,0.283203565264,0.649639544889,,,,,
25,0.290011874918,0.327346264512,0.27635349508,0.647482005079,,,,,
26,0.287766072317,0.322907607782,0.258445029516,0.644258886257,,,,,
27,0.28541731268,0.321766525278,0.250321244787,0.642207547843,,,,,
28,0.284034220595,0.321012071799,0.248413524233,0.640786517067,,,,,
29,0.280959202826,0.318815641179,0.247423476523,0.637993968034,,,,,
30,0.276896312419,0.316417845685,0.240337034981,0.634232234916,,,,,
31,0.274566228122,0.314700534552,0.229888234099,0.631868373714,,,,,
32,0.271770954803,0.311493639793,0.222615367554,0.628232620842,,,,,
33,0.268718389544,0.3095205538,0.216903387709,0.622366818452,,,,,
34,0.264783967056,0.308003569217,0.21412582246,0.618127915677,,,,,
35,0.261623311437,0.306396417381,0.20603897605,0.614477210361,,,,,
36,0.259075118848,0.3034406326,0.198511480421,0.613364051977,,,,,
37,0.256764420338,0.30045661013,0.190009826336,0.61029494046,,,,,
38,0.253331484449,0.297711464928,0.185122076187,0.606310262897,,,,,
39,0.252084643934,0.295999501699,0.183588136163,0.603659732737,,,,,
40,0.250344714102,0.295769754392,0.179621229564,0.602068890216,,,,,
41,0.249521198146,0.29618816471,0.178250360333,0.600152367737,,,,,
42,0.248394901472,0.294890824334,0.175497856314,0.597976283604,,,,,
43,0.247372642821,0.290478687492,0.172721602426,0.597531535146,,,,,
44,0.246587238669,0.290322270219,0.165681879942,0.596087432089,,,,,
45,0.23945924146,0.285873926683,0.163983767346,0.588469697209,,,,,
46,0.230151577519,0.278828571932,0.161755178113,0.582290408938,,,,,
47,0.227226968485,0.273067837892,0.155904606754,0.580079073957,,,,,
48,0.226161606932,0.272306786744,0.154326334464,0.578057253957,,,,,
