Time(Iteration),hLinUCBCoTheta,LinUCBCoTheta,,,hLinUCBV,hLinUCBCoThetaV,hLinUCBR,hLinUCBRV
0,0.746839780441,0.720364713487,,,1.0427866448,0.0,0.0,0.132247923235
1,0.720382300556,0.699832000416,,,0.985783527704,0.0,0.0,0.0515485923001
2,0.703956113065,0.68884196592,,,0.992032857338,0.0,0.0,0.0626632819288
3,0.694459882373,0.660135278982,,,1.10049590761,0.0,0.0,0.071789403785
4,0.679721808724,0.632531644353,,,1.09250489489,0.0,0.0,0.0540039147637
5,0.670249794047,0.617232583608,,,1.10108320062,0.0,0.0,-0.0143680384187
6,0.649665273544,0.60793782863,,,1.10433654686,0.0,0.0,0.0486927576359
7,0.638476663113,0.599802496862,,,1.0861537309,0.0,0.0,0.0345193110102
8,0.63338365435,0.568561753443,,,1.09369251504,0.0,0.0,0.0368670053785
9,0.627364812372,0.54032565592,,,1.05855189878,0.0,0.0,0.00937446381605
10,0.624318792195,0.522653524552,,,1.02776686002,0.0,0.0,0.016345725571
11,0.621910760415,0.512891527475,,,1.09739493396,0.0,0.0,0.00419729733004
12,0.612755799907,0.486201438983,,,1.08167271697,0.0,0.0,0.0251862398657
13,0.611651742111,0.461908290473,,,1.12710800289,0.0,0.0,0.013822463467
14,0.603176910645,0.43611009018,,,1.04171600765,0.0,0.0,0.0182171663119
15,0.596424143473,0.414778978839,,,1.03552544237,0.0,0.0,0.00199524052961
16,0.593990415192,0.408535610996,,,1.14720821655,0.0,0.0,0.0130136733106
17,0.591461641664,0.395940530534,,,1.1423465914,0.0,0.0,-0.0033165791965
18,0.590930758488,0.388344416059,,,1.17171292086,0.0,0.0,0.0262076036867
19,0.581477965382,0.383304671745,,,1.02509583064,0.0,0.0,0.0248319867159
20,0.577502139915,0.353538679736,,,1.05595799112,0.0,0.0,0.00446063748927
21,0.564863319733,0.34505707179,,,1.04426938014,0.0,0.0,-1.22362400672e-05
22,0.564863319733,0.325581568473,,,0.987275064658,0.0,0.0,0.00353986122819
23,0.559604388421,0.317871894838,,,1.16168132303,0.0,0.0,0.00896031732744
24,0.559604388421,0.310760846985,,,1.17863294419,0.0,0.0,-0.00312773272689
25,0.558340764638,0.293259626113,,,1.17385056786,0.0,0.0,0.0128843869321
26,0.554951709528,0.284209272737,,,1.05216622375,0.0,0.0,0.0291319613745
27,0.540843153491,0.280845787403,,,1.07861347979,0.0,0.0,0.000304451452009
28,0.53753563835,0.272949340087,,,1.10421542273,0.0,0.0,0.00393491148124
29,0.53770071801,0.271686194975,,,1.02268599561,0.0,0.0,0.0205792152859
30,0.528804347766,0.266842278448,,,1.01587081874,0.0,0.0,0.0102545491214
31,0.528804347766,0.254912794497,,,1.00175898301,0.0,0.0,0.0164954011138
32,0.525055321726,0.250136061094,,,1.11429873984,0.0,0.0,0.0199072015489
33,0.521759447415,0.245257563443,,,1.14506835129,0.0,0.0,0.0319798235054
34,0.521759447415,0.241227412446,,,1.13716616088,0.0,0.0,0.00927543207828
35,0.491146246072,0.231593016712,,,1.10957788867,0.0,0.0,0.0142029260315
36,0.491146246072,0.227852634262,,,1.11917495937,0.0,0.0,0.00452529140111
37,0.490305457683,0.213758959649,,,0.971964393955,0.0,0.0,0.00542546117
38,0.485935767771,0.213116234063,,,1.00099981651,0.0,0.0,-0.001662444996
39,0.485935767771,0.207850106461,,,1.02643995318,0.0,0.0,-0.000475066354551
40,0.479557249141,0.206857794841,,,1.1672004026,0.0,0.0,0.0077905156224
41,0.477194993,0.201787752416,,,1.03871561979,0.0,0.0,0.00691837078022
42,0.477194993,0.20148141997,,,1.04598842165,0.0,0.0,0.0107363603028
43,0.469670947605,0.199808678259,,,0.937979348574,0.0,0.0,0.0187739572537
44,0.464061514022,0.196459718097,,,1.09120927642,0.0,0.0,0.0242083013355
45,0.464061514022,0.191004222144,,,0.960961359366,0.0,0.0,0.00392562684328
