Time(Iteration),CoLin,LinUCB
0,0.562929013175,1.20800421589
1,0.890166058061,2.44470571573
2,1.13631067606,3.84410807136
3,1.45090772029,6.0164723581
4,1.62419815014,7.4849234442
5,1.76184957011,8.75103658425
6,1.88427091042,9.59870083464
7,1.91550320615,10.4965931351
8,2.0243445603,11.5184790594
9,2.13349960999,12.1659735215
10,2.14800959253,13.5123614108
11,2.20631839321,14.3502991785
12,2.28637670079,14.9094592199
13,2.52107295699,15.1886382982
14,2.53759569217,15.9807314112
15,2.58629735717,16.9404636882
16,2.59906450549,18.0918743362
17,2.76645064509,18.5558672166
18,2.79465654693,19.0243236106
19,2.83123033924,19.6968653343
20,2.93677911243,20.1815474513
21,2.96560921975,20.5252445845
22,2.96560921975,20.672346903
23,2.96560921975,21.2962910144
24,3.01045913046,21.423650614
25,3.06766501853,21.643672593
26,3.12545727179,22.0922928633
27,3.28657110321,22.6022542607
28,3.33016722353,22.7679587357
29,3.34105846692,22.9278252623
30,3.36003208642,23.3050339838
31,3.36524927819,23.3899344887
32,3.37554127602,23.6793505472
33,3.37699557912,23.8489573232
34,3.38125272278,24.1959351801
35,3.3877315861,24.2671262039
36,3.45274819294,24.4034697532
37,3.45274819294,24.4794507403
38,3.4837568819,24.6439641714
39,3.48789918166,24.6481064711
40,3.51942325512,24.7015491953
41,3.51942325512,24.9277648148
42,3.54006389148,25.2116540327
43,3.55173129322,25.3874570329
44,3.62878548329,25.5426484126
45,3.64716446764,25.8416128522
46,3.65379968798,26.0298535393
47,3.6581579421,26.2486707056
48,3.66388101462,26.2947479817
49,3.7073173866,26.7467786498
50,3.8123105044,26.8551860027
51,3.8123105044,26.8802236714
52,3.8137108314,27.1181254129
53,3.8137108314,27.3326158407
54,3.83705884284,27.4187671276
55,3.86996942359,27.5291219622
56,3.99386071647,27.8216310326
57,3.99386071647,27.9094400204
58,4.04713498172,28.1205021061
59,4.10630268403,28.3547709534
60,4.15734234966,28.3547709534
61,4.17078949927,28.5355186019
62,4.20669935047,28.5778214936
63,4.20669935047,28.6952856706
64,4.20669935047,28.8812437576
65,4.2092198619,28.9223928974
66,4.2092198619,28.9824797517
67,4.28958101928,29.0471509253
68,4.29613401017,29.3204374212
69,4.29613401017,29.4587270326
70,4.34563216474,29.539311491
71,4.34827559057,29.5419549168
72,4.34827559057,29.5517915782
73,4.36708140749,29.750889432
74,4.38459024697,29.9265387381
75,4.45282514795,30.0817857915
76,4.49038122057,30.0817857915
77,4.49409088877,30.0817857915
78,4.51821281665,30.1202548268
79,4.51821281665,30.151256268
80,4.53085660998,30.2806574554
81,4.53085660998,30.369716575
82,4.53187326636,30.3707332314
83,4.55972683815,30.5204591635
84,4.55972683815,30.5711668805
85,4.55972683815,30.6223147288
86,4.56112023911,30.6223147288
87,4.58006205317,30.6594033922
88,4.58118923784,30.7108516419
89,4.65524096413,30.7185931602
90,4.65524096413,30.7784045961
91,4.6612757959,30.8279815984
92,4.67679764609,30.9107271148
93,4.67679764609,30.9465578483
94,4.67771069485,30.9837903403
95,4.68207214535,31.0221237273
96,4.68851920282,31.0842839784
97,4.70009053062,31.0969546478
98,4.70009053062,31.1384977425
99,4.70243787935,31.242067859
100,4.72855687523,31.2679367452
101,4.74929816775,31.4041076843
102,4.77441888923,31.550559082
103,4.80889124795,31.6319085196
104,4.80889124795,31.6969397734
105,4.82793054142,31.7601110448
106,4.83422667386,31.7991844126
107,4.86059289796,31.8322812404
108,4.86700688244,31.8444036327
109,4.87328313019,31.91599793
110,4.87329327287,32.0952411086
111,4.87329327287,32.2212132223
112,4.91208271381,32.3164747454
113,4.94068492979,32.3450769614
114,4.94068492979,32.3450769614
115,4.94068492979,32.3450769614
116,4.99104514442,32.3499778833
117,5.01236785196,32.4431288534
118,5.01236785196,32.4431288534
119,5.01766793,32.5488562433
120,5.02092338956,32.6646217368
121,5.02092338956,32.7277575545
122,5.05695341745,32.7889384517
123,5.05695341745,32.7946168067
124,5.05695341745,32.964326757
125,5.05917006084,33.0468217386
126,5.0724178199,33.0600694976
127,5.08231133973,33.0699630175
128,5.08231133973,33.0699630175
129,5.08231133973,33.110659187
130,5.08591411565,33.110659187
131,5.17312202215,33.1783977769
132,5.21439204558,33.1988669871
133,5.22677092935,33.2419615656
134,5.22769097616,33.3411573915
135,5.22769097616,33.3411573915
136,5.27110154448,33.3723779594
137,5.27506819085,33.3763446058
138,5.28673739473,33.3880138097
139,5.29563576034,33.4262915206
140,5.32254856173,33.4712426147
141,5.34414032528,33.5809856977
142,5.34414032528,33.6625910566
143,5.35324873949,33.7274876555
144,5.35324873949,33.7382235162
145,5.4082699586,33.7382235162
146,5.42824191154,33.8212997543
147,5.4293344316,33.8212997543
148,5.4293344316,33.9008939075
149,5.44295231648,33.9008939075
150,5.45549284131,33.9008939075
151,5.45549284131,33.9008939075
152,5.47415645164,33.9197673605
153,5.47415645164,33.9520254627
154,5.4922869509,33.9941813635
155,5.5073467258,34.0840752638
156,5.5073467258,34.0840752638
157,5.5073467258,34.1051582521
158,5.51817464172,34.1051582521
159,5.53994084422,34.1269244546
160,5.53994084422,34.1269244546
161,5.62706014354,34.1803217433
162,5.63165472521,34.1849163249
163,5.6363054863,34.1909586465
164,5.6363054863,34.1909586465
165,5.64843085416,34.2030840144
166,5.64843085416,34.2073076415
167,5.66378989521,34.2434508906
168,5.67075096742,34.2504119629
169,5.71359517257,34.385348533
170,5.72604450749,34.385348533
171,5.72604450749,34.385348533
172,5.74813392995,34.4607066939
173,5.74813392995,34.5139550536
174,5.74813392995,34.5341845377
175,5.75752059942,34.5910350795
176,5.75752059942,34.6326943948
177,5.75752059942,34.6326943948
178,5.75752059942,34.6790595176
179,5.76098635423,34.6825252724
180,5.76098635423,34.6825252724
181,5.76751745625,34.7121882718
182,5.76751745625,34.7701477615
183,5.77309882349,34.7747461797
184,5.77410302241,34.831768872
185,5.77410302241,34.8859372735
186,5.79391917993,34.9068253523
187,5.79391917993,34.953359354
188,5.8297706493,35.0238366188
189,5.83672079753,35.0458621876
190,5.83672079753,35.0458621876
191,5.83672079753,35.0717065004
192,5.83672079753,35.10664198
193,5.83672079753,35.1106374993
194,5.83714004396,35.1110567458
195,5.85895635747,35.1287668099
196,5.87523862888,35.1450490813
197,5.87523862888,35.1804576285
198,5.87582768233,35.2075677326
199,5.87582768233,35.2601400484
200,5.87582768233,35.3105433231
201,5.87582768233,35.3105433231
202,5.87582768233,35.3645213569
203,5.88892255901,35.3776162336
204,5.88892255901,35.3776162336
205,5.89486376368,35.3835574382
206,5.89486376368,35.408742711
207,5.89885033789,35.4256979582
208,5.9047295267,35.431577147
209,5.9047295267,35.4898718949
210,5.90808108953,35.4932234578
211,5.90808108953,35.4932234578
212,5.90808108953,35.5017932521
213,5.90808108953,35.5017932521
214,5.92062314469,35.5017932521
215,5.92062314469,35.5017932521
216,5.92062314469,35.5412475369
217,5.94121964198,35.6119995299
218,5.94121964198,35.6149380363
219,5.94560554161,35.619323936
220,5.94863129545,35.6337270315
221,5.95979441886,35.6501135924
222,5.97131890583,35.6784114459
223,5.98282799753,35.7161191523
224,5.98282799753,35.7161191523
225,6.0076116795,35.7161191523
226,6.0076116795,35.7161191523
227,6.01314965509,35.8140798052
228,6.01619858531,35.8506445191
229,6.02475373131,35.8886596476
230,6.04831555505,35.8886596476
231,6.0692487543,35.9323498269
232,6.0692487543,35.9323498269
233,6.08290935434,35.961774353
234,6.0852659392,35.9691851768
235,6.10067913007,35.9845983677
236,6.10067913007,36.014324677
237,6.10067913007,36.1388600952
238,6.10537894382,36.1435599089
239,6.10537894382,36.1435599089
240,6.11515983283,36.202391105
241,6.13360445368,36.2364964311
242,6.13360445368,36.2475738243
243,6.13651996776,36.2475738243
244,6.13651996776,36.2475738243
245,6.13651996776,36.3041691634
246,6.13651996776,36.3090554178
247,6.14304228586,36.3108338526
248,6.14304228586,36.3108338526
249,6.14304228586,36.3199905653
250,6.14304228586,36.3199905653
251,6.14304228586,36.3406894107
252,6.14304228586,36.3567162013
253,6.14490587554,36.3783542051
254,6.1632760986,36.4122169188
255,6.17910628288,36.4851354889
