Time(Iteration),CoLin,LinUCB
256,6.18952570697,36.5284426317
257,6.19548602844,36.5344029531
258,6.19688852443,36.5358054491
259,6.19859082492,36.5708292603
260,6.20087886417,36.5731172995
261,6.22423723493,36.5941982174
262,6.22423723493,36.6051168894
263,6.22423723493,36.6051168894
264,6.23221090318,36.6464603865
265,6.23221090318,36.760619239
266,6.24964374654,36.7643156018
267,6.24964374654,36.7643156018
268,6.24964374654,36.7643156018
269,6.25889329774,36.8181392555
270,6.26742906374,36.8679515125
271,6.26742906374,36.8679515125
272,6.26742906374,36.917161786
273,6.26742906374,36.9478285482
274,6.26742906374,36.9603480402
275,6.29513864114,36.9942140375
276,6.29513864114,36.9942140375
277,6.29513864114,36.9942140375
278,6.29513864114,37.0162185963
279,6.30021037404,37.0212903292
280,6.33552398972,37.0407041181
281,6.33552398972,37.049570401
282,6.33552398972,37.0521813302
283,6.33552398972,37.0521813302
284,6.33552398972,37.0521813302
285,6.34776079807,37.0521813302
286,6.35185245518,37.1507713335
287,6.36569576786,37.1875031627
288,6.36750026712,37.189307662
289,6.36897978527,37.189307662
290,6.36897978527,37.2367705739
291,6.37255547712,37.2403462658
292,6.37255547712,37.262794813
293,6.37255547712,37.262794813
294,6.37255547712,37.262794813
295,6.38268157709,37.272920913
296,6.38537076357,37.301722795
297,6.38537076357,37.301722795
298,6.38537076357,37.3256516161
299,6.38538221289,37.3417335456
