Time(Iteration),CoLin,GOBLin,LinUCB
0,1.86011820163,1.2774831911,2.04253193867
1,1.94658858237,1.49721146193,3.44210971576
2,2.20989507374,1.73652132099,5.3970403295
3,2.36965732905,2.18601722671,6.0289916698
4,2.55409648348,2.32900972331,7.05626742165
5,2.81266863629,2.45323310508,7.86623509161
6,2.89431633594,2.77312816648,9.25344405781
7,3.06996997194,2.94878180249,9.53640631095
8,3.27153621711,3.15933287657,10.4709689877
9,3.43437096034,3.31521732783,10.7498559326
10,3.48660562787,3.31521732783,11.5506853999
11,3.58227980801,3.35740379137,12.4930499887
12,3.65484491924,3.50835721284,13.3647383078
13,3.65484491924,3.52105402648,13.8569596249
14,3.74047909918,3.60668820641,14.9271171223
15,3.77542799122,3.68041027906,15.5523659555
16,3.79622307582,3.70120536366,15.9322246401
17,3.90355789034,3.80854017818,16.9865076802
18,3.96078755073,3.86576983856,17.3450815665
19,3.97488773056,3.8798700184,17.4990888427
20,4.06259050158,4.05472651917,18.2221560614
21,4.08422081668,4.14426613567,18.5588525111
22,4.09104885108,4.25084343765,18.9785135872
23,4.09104885108,4.25084343765,19.2672719013
24,4.16368824055,4.36101760207,19.8131304077
25,4.23194309617,4.53018236673,19.9634698762
26,4.31617088783,4.55259701135,20.0674611667
27,4.31617088783,4.55259701135,20.1448962744
28,4.36461071196,4.60103683548,20.3740738653
29,4.37267532693,4.61914554746,20.5205005127
30,4.37267532693,4.64448879431,20.7236026378
31,4.41084082471,4.6623021404,20.963184221
32,4.41084082471,4.71267906783,21.1083496505
33,4.43335957559,4.81728758427,21.1527264442
34,4.43335957559,4.81728758427,21.2823440511
35,4.49570492604,4.87963293472,21.4148260761
36,4.49570492604,4.90054571135,21.4596104705
37,4.49683266315,4.90167344846,21.5518012242
38,4.49683266315,4.90167344846,21.6261670098
39,4.50297464177,4.90781542708,21.7096170504
40,4.56551013857,4.93801318068,22.0436656118
41,4.57626332602,4.94876636813,22.0544187993
42,4.58307841907,4.95558146118,22.0641717283
43,4.59333006392,4.98404586016,22.1992052065
44,4.60770994507,5.05611436816,22.3385571628
45,4.63734990602,5.08575432912,22.5847286392
46,4.63907226208,5.09127895382,22.5902532639
47,4.67810783532,5.17560765773,22.6745819678
48,4.75134500097,5.2706833479,22.781482014
49,4.75134500097,5.2706833479,22.8735012403
50,4.76625310938,5.28692624693,23.0552451407
51,4.76625310938,5.2975932675,23.0848134493
52,4.78540403259,5.31674419071,23.3271432613
53,4.78540403259,5.31674419071,23.3271432613
54,4.78540403259,5.32372873686,23.4173158091
55,4.8116801593,5.35416211143,23.5713405285
56,4.83171577014,5.37419772227,23.8031545949
57,4.90253374476,5.47079376045,23.8631945178
58,4.97127567998,5.53953569567,23.9256806997
59,4.97861368908,5.54687370477,23.9613735624
60,5.0051559001,5.57341591579,23.9890184546
61,5.0051559001,5.58471519512,24.1618774131
62,5.01714816498,5.64547594396,24.2711469313
63,5.01714816498,5.71019211701,24.2861846296
64,5.02058801293,5.84675950993,24.5679428018
65,5.04179285452,5.86796435151,24.6204818064
66,5.04228982856,5.88202533342,24.6345427883
67,5.04228982856,5.88202533342,24.704067065
68,5.06245432464,5.95106767402,24.8106151187
69,5.07089249037,5.95950583975,24.8690732686
70,5.08381862619,6.01914778705,24.9696224528
71,5.09153674167,6.02686590253,25.0263936108
72,5.09153674167,6.02686590253,25.2026997773
73,5.09153674167,6.05353572668,25.2921380117
74,5.09153674167,6.10380760587,25.3424098909
75,5.10124759356,6.13041169181,25.450674901
76,5.10144316005,6.1306072583,25.5926123167
77,5.12956632503,6.17200305076,25.6340081091
78,5.12956632503,6.18467825962,25.7408755369
79,5.20034055212,6.20895008827,25.811649764
80,5.2275925266,6.28839881145,25.859088002
81,5.28715087876,6.34462041749,26.0273790944
82,5.28715087876,6.34462041749,26.0273790944
83,5.28715087876,6.35898607154,26.0417447485
84,5.28715087876,6.35898607154,26.0417447485
85,5.34546345307,6.41729864585,26.1367481037
86,5.36135219119,6.43318738397,26.1526368419
87,5.38834328198,6.43318738397,26.1526368419
88,5.38834328198,6.4655726295,26.2005679108
89,5.41097368968,6.56229757014,26.2817945759
90,5.41097368968,6.57272024756,26.3087679191
91,5.43982889661,6.6015754545,26.4535201592
92,5.43982889661,6.6520113458,26.6448137738
93,5.47109309246,6.65995333503,26.7019771636
94,5.47109309246,6.65995333503,26.7296837756
95,5.50010363053,6.75823353676,26.9063772648
96,5.52216221405,6.78400582451,26.9321495525
97,5.52216221405,6.78400582451,26.9321495525
98,5.53910280926,6.80094641972,27.0032904674
99,5.53910280926,6.85485379863,27.0401980932
100,5.53910280926,6.85485379863,27.0401980932
101,5.54175964154,6.85485379863,27.0401980932
102,5.57044201467,6.88353617176,27.1208581573
103,5.57107555783,6.93223674019,27.1695587257
104,5.57730118538,6.93846236774,27.1757843533
105,5.57730118538,6.93846236774,27.1757843533
106,5.57857621865,6.93973740101,27.1757843533
107,5.59215609655,6.99190977674,27.3154619983
108,5.59215609655,7.0006037699,27.3241559915
109,5.62275183207,7.03119950542,27.4251545077
110,5.62629927969,7.03474695303,27.4287019553
111,5.62629927969,7.06462022815,27.4585752304
112,5.62629927969,7.09016594439,27.4841209466
113,5.62945893046,7.12765829822,27.5788352086
114,5.62945893046,7.2140299063,27.6652068167
115,5.63926154248,7.2140299063,27.6652068167
116,5.64926620635,7.22403457017,27.6752114805
117,5.65500972412,7.29089914278,27.7420760531
118,5.67720574143,7.31260546574,27.7637823761
119,5.67973063335,7.31513035766,27.8092403208
120,5.6920958942,7.31513035766,27.8092403208
121,5.6920958942,7.31513035766,27.8380945948
122,5.6920958942,7.31513035766,27.9305425595
123,5.6920958942,7.31513035766,27.9305425595
124,5.6920958942,7.31513035766,27.9305425595
125,5.7410271055,7.36593212984,28.0035921818
126,5.74979071619,7.37469574053,28.0496372242
127,5.76283742992,7.495790117,28.1707316007
128,5.76283742992,7.51806612793,28.2338906416
129,5.76494256822,7.56805683481,28.2338906416
130,5.76494256822,7.6081257882,28.2844065057
131,5.76494256822,7.63555979399,28.3461541921
132,5.76494256822,7.6687154812,28.3793098793
133,5.77392035064,7.67769326361,28.3910071272
134,5.77920203967,7.76776871589,28.4315578229
135,5.77920203967,7.79107038228,28.4548594893
136,5.79117476109,7.83122641583,28.6037096979
137,5.81584973172,7.85590138646,28.6283846685
138,5.81584973172,7.87270898693,28.6283846685
139,5.81584973172,7.87270898693,28.6521846586
140,5.81584973172,7.87270898693,28.6521846586
141,5.82256961066,7.87942886587,28.705418435
142,5.82256961066,7.87942886587,28.705418435
143,5.84153557267,7.88433343064,28.7103229998
144,5.84440754456,7.95977513917,28.7426035576
145,5.84440754456,7.95977513917,28.7580699036
146,5.84440754456,7.95977513917,28.7580699036
147,5.84440754456,7.99011253581,28.8874484216
148,5.85694621212,8.05865221057,28.9434494288
149,5.87524442621,8.07695042465,28.9779295437
150,5.87524442621,8.08821327372,28.9891923927
151,5.87524442621,8.09005960408,28.997635941
152,5.88061010194,8.11720441778,29.0247807547
153,5.89917172175,8.18189315719,29.1560817586
154,5.89917172175,8.23111311153,29.1560817586
155,5.89917172175,8.23111311153,29.2614938586
156,5.90249999658,8.23444138636,29.2648221334
157,5.90505424062,8.23539004024,29.2665899782
158,5.90505424062,8.23539004024,29.2902853984
159,5.90505424062,8.23539004024,29.2902853984
160,5.90505424062,8.23539004024,29.2983645674
161,5.92018195871,8.25051775833,29.3134922855
162,5.95508310889,8.25051775833,29.3134922855
163,5.95508310889,8.26399478171,29.3399139236
164,5.95508310889,8.26399478171,29.3399139236
165,5.95508310889,8.26399478171,29.3399139236
166,5.95508310889,8.28738970437,29.3633088462
167,5.95508310889,8.28738970437,29.3962835961
168,5.97948594749,8.37099972416,29.5103597038
169,5.97948594749,8.4438101762,29.5536423543
170,5.98014729905,8.51187211713,29.6830245386
171,5.98014729905,8.546321326,29.7422613113
172,5.98234709704,8.54852112399,29.7840263477
173,5.98258244633,8.57652745906,29.8048937011
174,5.98966142468,8.5836064374,29.8119726795
175,6.00782841727,8.68521370941,29.9135799515
176,6.01629380873,8.68521370941,29.9220453429
177,6.09173715055,8.79580764297,29.9571959347
178,6.10622010917,8.81029060159,29.9716788933
179,6.10622010917,8.81029060159,30.0230144879
180,6.12296074332,8.86899406287,30.0817179492
181,6.12296074332,8.86899406287,30.0817179492
182,6.12296074332,8.8931273321,30.1058512184
183,6.12296074332,8.8931273321,30.1121080649
184,6.1309655115,8.8931273321,30.1121080649
185,6.13606589678,8.94343566382,30.1624163966
186,6.14726514227,8.95597903123,30.174959764
187,6.14726514227,8.95597903123,30.26508752
188,6.14887950483,8.96253041382,30.2707144238
189,6.19100026455,9.03027549671,30.3384595067
190,6.19100026455,9.03027549671,30.3799050509
191,6.19100026455,9.03027549671,30.3799050509
192,6.19100026455,9.03027549671,30.3799050509
193,6.19100026455,9.03027549671,30.3799050509
194,6.19100026455,9.03700379602,30.3866333502
195,6.19100026455,9.04472827103,30.4598359414
196,6.19100026455,9.04472827103,30.4598359414
197,6.19100026455,9.05826591839,30.4733735888
198,6.19100026455,9.06078865991,30.4758963303
199,6.19100026455,9.06078865991,30.4758963303
200,6.21784104365,9.08471131906,30.4998189895
201,6.21784104365,9.10532179415,30.5204294645
202,6.22104975028,9.12688135913,30.5419890295
203,6.25055872513,9.15639033399,30.5811282476
204,6.25055872513,9.15639033399,30.5811282476
205,6.26020176118,9.16603337004,30.6643805776
206,6.26385566112,9.17968750063,30.6780347082
207,6.26411334164,9.24005093589,30.7383981435
208,6.27199607742,9.31490359395,30.8783908385
209,6.27199607742,9.31490359395,30.8783908385
210,6.27638717603,9.31929469257,30.948194742
211,6.27638717603,9.34245621614,30.9713562656
212,6.28136524805,9.34743428815,30.9763343376
213,6.28136524805,9.35752157351,31.0229645017
214,6.3061223975,9.38227872296,31.0350696804
215,6.31061306274,9.38676938821,31.0350696804
216,6.32223416918,9.39839049465,31.0466907868
217,6.32223416918,9.39839049465,31.0466907868
218,6.32223416918,9.39839049465,31.0730839511
